Date,Open,High,Low,Close,Volume
2023-11-30,1.0973,1.0984,1.08775,1.08916,173646
2023-12-01,1.08917,1.0914,1.08285,1.0891,171854
2023-12-03,1.08693,1.08946,1.08648,1.08855,3546
2023-12-04,1.08854,1.08863,1.0803,1.08374,169079
2023-12-05,1.08373,1.08473,1.0777,1.07933,173418
2023-12-06,1.0794,1.0805,1.0757,1.07663,163748
2023-12-07,1.07664,1.08176,1.07549,1.07892,189355
2023-12-08,1.07899,1.08006,1.07232,1.0772,192427
2023-12-10,1.07488,1.07673,1.07488,1.07647,1472
2023-12-11,1.0765,1.0779,1.0741,1.0765,156558
2023-12-12,1.07654,1.08282,1.0759,1.0798,166789
2023-12-13,1.07982,1.08966,1.0771,1.08827,181281
2023-12-14,1.0883,1.10091,1.0878,1.09933,229041
2023-12-15,1.09932,1.1005,1.0876,1.0907,198509
2023-12-17,1.08898,1.09007,1.08898,1.08946,1662
2023-12-18,1.08947,1.0931,1.0893,1.09227,163770
2023-12-19,1.09233,1.09874,1.0913,1.09791,172771
2023-12-20,1.09793,1.09795,1.0928,1.0944,169980
2023-12-21,1.09432,1.1013,1.0934,1.10056,187282
2023-12-22,1.10062,1.10402,1.09938,1.1026,172651
2023-12-24,1.10118,1.10118,1.10118,1.10118,1
2023-12-25,1.1016,1.1086,1.09885,1.10183,14430
2023-12-26,1.10186,1.10452,1.1007,1.1042,112663
2023-12-27,1.10421,1.1123,1.1027,1.1107,151882
2023-12-28,1.1108,1.11395,1.1054,1.10674,167712
2023-12-29,1.10675,1.1085,1.1023,1.1036,161345
2023-12-31,1.10353,1.10353,1.10353,1.10353,1
2024-01-01,1.1038,1.1077,1.091,1.1037,8793
2024-01-02,1.10366,1.10434,1.09343,1.094,170574
2024-01-03,1.09415,1.0966,1.08929,1.0926,173032
2024-01-04,1.09261,1.0973,1.0914,1.0946,165042
2024-01-05,1.0946,1.09985,1.08758,1.0938,176598
2024-01-07,1.09359,1.09464,1.09346,1.09411,1650
2024-01-08,1.09413,1.0979,1.09226,1.0949,154452
2024-01-09,1.09494,1.0967,1.091,1.09313,173194
2024-01-10,1.09319,1.0975,1.0921,1.0974,161927
2024-01-11,1.09742,1.09904,1.0929,1.09824,146925
2024-01-12,1.09824,1.09869,1.0934,1.0941,171031
2024-01-14,1.09463,1.09509,1.09431,1.09448,1673
2024-01-15,1.09449,1.0968,1.0932,1.09446,122190
2024-01-16,1.09448,1.09462,1.0861,1.08783,187911
2024-01-17,1.08785,1.0886,1.0844,1.0886,180966
2024-01-18,1.08859,1.0907,1.0846,1.088,184337
2024-01-19,1.08796,1.0899,1.0864,1.08944,159159
2024-01-21,1.08903,1.08974,1.08866,1.08915,2226
2024-01-22,1.08912,1.091,1.0875,1.0877,150023
2024-01-23,1.08774,1.0916,1.08208,1.08572,161454
2024-01-24,1.08573,1.09322,1.085,1.08811,173551
2024-01-25,1.08807,1.09019,1.0821,1.08453,171603
2024-01-26,1.08456,1.08858,1.0811,1.08416,156213
